"Task Name","Description","Status","Priority","Time Estimate","Tags","List"
"Valider le secteur retenu : animation périscolaire","Acter collectivement le choix. Chaque membre doit savoir expliquer en 30 secondes pourquoi le périscolaire et pas les colos, le camping ou la boîte de nuit.","Complete","1","1h","J0,produit","Cadrage"
"Figer la proposition de valeur en une phrase","Combler un poste avant le lendemain matin sans sortir du taux d'encadrement. Doit être identique dans le dossier, le pitch et le README.","to do","1","30m","J0,produit","Cadrage"
"Valider le nom Apik et réserver les actifs","Vérifier la disponibilité du domaine .fr et des handles réseaux. Préparer une phrase d'explication du nom pour le pitch.","to do","3","1h","J1,produit","Cadrage"
"Définir la fonctionnalité alimentée par les données publiques","Le sujet interdit l'affichage brut. Trancher entre pré-remplissage d'inscription employeur et carte de tension. Recommandation : pré-remplissage en priorité.","to do","1","1h","J1,produit,data","Cadrage"
"Lister les fonctionnalités retenues pour le POC","Roadmap fonctionnelle exigée par le sujet. Une ligne par fonctionnalité, sans ambiguïté.","to do","1","2h","J2,scope","Cadrage"
"Lister explicitement le hors périmètre","Pas de messagerie temps réel, pas de paiement, pas d'app native, pas de signature électronique, pas de multi-agences. Annoncer les exclusions protège au go/nogo.","to do","1","1h","J2,scope","Cadrage"
"Chiffrer chaque module en jours-homme","Exigence explicite du sujet. Environ 38 j/h à répartir sur l'effectif. Prévoir une marge, l'écart sera redemandé en fin de projet.","to do","1","2h","J2,scope","Cadrage"
"Répartir les modules entre les membres","Un responsable identifié par module. Éviter qu'une personne porte seule un module critique.","to do","1","1h","J2,équipe","Cadrage"
"Construire le planning sur les 8 jours de dev","Placer les modules en tenant compte des dépendances : le matching dépend du modèle de données, les tests dépendent des parcours.","to do","1","2h","J2,scope","Cadrage"
"Arrêter la stack technique","Frontend et backend en TypeScript. Choisir React ou Vue, NestJS ou Express. Documenter la décision et sa justification pour la soutenance.","to do","1","2h","J1,tech","Cadrage"
"Choisir la base relationnelle et la base non relationnelle","Exigence du sujet. Proposition : PostgreSQL pour utilisateurs, missions et contrats ; MongoDB ou Redis pour logs de matching et cache.","to do","1","1h","J1,tech","Cadrage"
"Concevoir le modèle de données","Entités : utilisateur, profil animateur, structure, mission, candidature, certification, honorabilité, créneau. Schéma validé avant tout code.","to do","1","3h","J1,tech","Cadrage"
"Spécifier le calculateur de taux d'encadrement","1/10 et 1/14 sans PEDT, 1/14 et 1/18 avec PEDT, variation selon durée supérieure ou inférieure à 5h. Quotas R227-12 : 50% diplômés min, 30% stagiaires max, 20% sans qualification max.","to do","1","2h","J1,tech,différenciateur","Cadrage"
"Spécifier l'algorithme de matching","Deux étages documentés séparément : filtres éliminatoires (honorabilité, certifications, chevauchement de créneaux) puis scoring pondéré (distance, expérience, tranche d'âge).","to do","1","2h","J1,tech,différenciateur","Cadrage"
"Définir le modèle du statut d'honorabilité","Obligation R227-3 du CASF. La plateforme ne peut pas interroger le fichier TAM. Modéliser statut, date de vérification, organisme vérificateur, avec blocage dur du matching.","to do","1","1h","J1,tech,conformité","Cadrage"
"Choisir les deux automatisations n8n","Retenu : alerte de match via webhook Discord, et génération du contrat depuis un template. Valider la faisabilité avant de s'engager.","to do","2","1h30m","J1,nocode","Cadrage"
"Arbitrer les pratiques d'éco-conception retenues","Au moins deux pratiques RGESN concrètes. Piste : import en delta plutôt que rechargement complet du CSV, compression d'images, lazy loading.","to do","3","1h","J2,conformité","Cadrage"
"Lister les critères RGAA 4.1 visés","Contrastes, alternatives textuelles, navigation clavier, structure sémantique. Conformité totale non attendue mais critères à savoir citer.","to do","3","1h","J2,conformité","Cadrage"
"Préparer les réponses aux objections du go/nogo","Pourquoi pas les colos (CEE), pourquoi pas le camping (saisonnalité), comment gérer le secteur public, pourquoi deux bases de données.","to do","2","1h30m","J2,soutenance","Cadrage"
"Répéter la présentation du cadrage","Tous les membres doivent pouvoir prendre la parole. Le jury peut interrompre à tout moment.","to do","1","1h30m","J2,soutenance,équipe","Cadrage"
"Définir la direction artistique et le moodboard","Arbitrer le ton visuel : registre institutionnel rassurant pour les structures, ou registre énergique enfance. Le produit s'adresse aux deux publics, la DA doit tenir les deux sans infantiliser l'employeur.","to do","2","2h","J1,design,identité","Cadrage"
"Choisir la palette de couleurs et valider les contrastes","Les ratios de contraste RGAA se vérifient au moment de la palette, pas après le développement. Valider chaque couple texte/fond avant de figer.","to do","1","2h","J1,design,identité,conformité","Cadrage"
"Choisir la typographie","Privilégier une police libre de droits et légère. Le poids des fontes est un levier direct d'éco-conception RGESN, à documenter.","to do","2","1h","J1,design,identité,conformité","Cadrage"
"Créer le logo Apik","Exploiter le jeu de mots à pic. Piste : détacher visuellement le A pour restituer l'apostrophe abandonnée.","to do","2","3h","J1,design,identité","Cadrage"
"Décliner le logo et créer la favicon","Versions monochrome, fond sombre, format carré pour avatar, favicon. Export en SVG en priorité.","to do","3","1h30m","J1,design,identité","Cadrage"
"Trancher la stratégie de rendu des pages publiques","Décision bloquante. Un rendu 100% client rend les pages de missions invisibles aux robots et annule tout le travail SEO. Choisir entre rendu serveur (Next.js, Nuxt) et génération statique, et l'acter avant d'initialiser le frontend.","to do","1","1h30m","J1,seo,tech,bloquant","Cadrage"
"Définir l'arborescence et le format des URLs publiques","Schéma lisible et stable, par exemple /missions/[ville]/[slug-du-poste]. Les URLs ne doivent plus bouger une fois publiées.","to do","2","1h","J1,seo,tech","Cadrage"
"Identifier les requêtes cibles du secteur","Intention de recherche côté animateur : emploi animateur périscolaire, recrutement animateur BAFA, souvent associée à une ville. Lister 15 à 20 requêtes prioritaires, sans outil payant si nécessaire.","to do","2","2h","J1,seo,produit","Cadrage"
"Obtenir un token API France Travail","Créer le compte partenaire sur francetravail.io, déclarer l'application, récupérer les identifiants, tester l'authentification.","to do","1","2h","J0,data,bloquant","Pré prod"
"Tester le volume d'offres sur le ROME G1203","Requête curl sur l'API Offres d'emploi. Compter les résultats, vérifier le volume exploitable en septembre. Point go/nogo des données.","to do","1","2h","J0,data,bloquant","Pré prod"
"Cartographier les champs utiles de la réponse API","Identifier les champs alimentant le matching : intitulé, lieu, dates, type de contrat, qualification. Documenter la structure JSON.","to do","2","2h","J1,data","Pré prod"
"Télécharger et inspecter l'Annuaire de l'éducation","CSV d'environ 39 Mo sur data.gouv.fr, mis à jour quotidiennement. Vérifier les colonnes exploitables pour le pré-remplissage employeur.","to do","2","1h30m","J1,data","Pré prod"
"Créer le dépôt Git et l'arborescence","Structure claire frontend et backend, README initial. Le sujet évalue l'organisation de l'environnement de travail.","to do","1","2h","J0,setup","Pré prod"
"Configurer le board ClickUp et les conventions","Statuts, étiquettes, nommage des branches et des commits. Décidé une fois pour toutes au départ.","to do","2","1h","J0,setup,équipe","Pré prod"
"Provisionner les bases de données en local","docker-compose avec la base relationnelle et la base non relationnelle. Doit démarrer en une commande pour toute l'équipe.","to do","1","2h","J1,setup","Pré prod"
"Mettre en place la CI et le lancement des tests","Pipeline minimal qui build et lance les tests. Le coverage devra être généré et transmis à la livraison.","to do","2","2h","J1,setup,tests","Pré prod"
"Configurer le linter, le formatter et les hooks de commit","ESLint, Prettier, husky. Évite les conflits de style et les revues inutiles.","to do","3","1h30m","J1,setup","Pré prod"
"Mettre en place l'instance n8n et le webhook Discord","Instance locale ou cloud, serveur Discord de test, webhook fonctionnel avant d'écrire les scénarios.","to do","2","2h","J1,setup,nocode","Pré prod"
"Initialiser le squelette frontend et backend","Projets créés, TypeScript configuré, un endpoint et une page qui répondent. Valide que la stack tourne de bout en bout.","to do","1","3h","J1,setup","Pré prod"
"Wireframes des parcours critiques","Basse fidélité sur les quatre parcours évalués : inscription animateur, inscription structure, création de mission, dashboard. Valider la logique avant de soigner le visuel.","to do","1","1j","design,figma","Pré prod"
"Créer le fichier Figma et son arborescence","Pages séparées : identité, design system, wireframes, maquettes, prototype. Accès partagé à toute l'équipe dès le départ.","to do","1","1h","design,figma,setup","Pré prod"
"Construire les styles et variables Figma","Couleurs, typographies, espacements, rayons, ombres en variables. C'est ce qui rendra l'intégration rapide et cohérente côté code.","to do","1","2h30m","design,figma","Pré prod"
"Créer la bibliothèque de composants","Boutons, champs de formulaire, carte mission, badge de certification, badge d'honorabilité, alerte de seuil d'encadrement, états de mission.","to do","1","4h","design,figma","Pré prod"
"Maquetter les écrans structure","Inscription, création de mission, calculateur de taux d'encadrement avec alerte de passage sous le seuil, résultats de matching, dashboard des états.","to do","1","5h","design,figma","Pré prod"
"Maquetter les écrans animateur","Inscription, profil avec certifications et créneaux, liste des missions proposées, agrégation de créneaux.","to do","1","4h","design,figma","Pré prod"
"Décliner les maquettes en responsive","Trois formats exigés par le sujet : mobile, tablette, desktop. Traiter au minimum les parcours critiques.","to do","1","3h","design,figma,front","Pré prod"
"Maquetter les pages publiques","Accueil et annonce de mission. Ces pages portent le SEO, la hiérarchie de titres doit être pensée dès la maquette.","to do","2","2h","design,figma,seo","Pré prod"
"Vérifier l'accessibilité sur les maquettes","Contrastes, tailles de texte, cibles tactiles, ordre de lecture, états de focus visibles. Corriger avant intégration coûte dix fois moins cher qu'après.","to do","2","2h","design,figma,conformité","Pré prod"
"Préparer et optimiser les assets à exporter","SVG pour les icônes et le logo, compression des images matricielles. Alimente directement le volet éco-conception RGESN.","to do","3","1h30m","design,figma,conformité","Pré prod"
"Monter le prototype cliquable pour la démo","Parcours de démonstration du go/nogo : structure en règle, désistement, passage sous le seuil, publication automatique, matching. Sert de filet si le produit n'est pas prêt.","to do","2","2h","design,figma,soutenance","Pré prod"
"Définir la hiérarchie de titres des pages publiques","Un seul h1 par page, hiérarchie logique ensuite. À poser dans les maquettes Figma, pas à l'intégration.","to do","2","1h","seo,design,figma","Pré prod"
"Script CLI d'import et de nettoyage des données publiques","Normalisation des libellés, dédoublonnage, conversion des formats de dates et de lieux. Répond à l'exigence CLI du sujet.","to do","1","3j","data,cli","Prod"
"Authentification double parcours","Inscription et connexion distinctes structure et animateur, hash des mots de passe, sessions ou tokens, protection contre les attaques basiques. À implémenter soi-même.","to do","1","3j","auth,critique","Prod"
"Gestion des permissions et des rôles","Un animateur ne voit pas le dashboard d'une structure et inversement. Contrôle côté serveur, pas seulement côté interface.","to do","1","1j","auth,critique","Prod"
"Chiffrement des données sensibles au repos et en transit","Documents d'identité, coordonnées. HTTPS en transit, chiffrement applicatif au repos.","to do","2","1j30m","auth,conformité","Prod"
"Profil animateur","Certifications (BAFA, CPJEPS, BPJEPS, PSC1), langues, zone géographique, expérience, créneaux de disponibilité.","to do","1","2j","profils","Prod"
"Profil structure et inscription employeur","Données de la structure, effectifs d'enfants par tranche d'âge, existence d'un PEDT, durée des accueils.","to do","1","1j30m","profils","Prod"
"Pré-remplissage employeur depuis l'Annuaire de l'éducation","Recherche par nom d'établissement, remplissage automatique de l'adresse et de la commune. Démontre l'usage concret des données publiques.","to do","1","1j30m","data,différenciateur","Prod"
"Création et gestion des missions","Poste, créneaux, lieu, certifications exigées, rémunération. Côté structure.","to do","1","3j","missions","Prod"
"Calculateur de taux d'encadrement","Calcul du nombre d'animateurs requis et du quota de diplômés. Déclenche la publication automatique de la mission en cas de passage sous le seuil.","to do","1","2j","différenciateur,conformité","Prod"
"Moteur de matching et scoring","Filtres éliminatoires puis scoring pondéré. Logs de matching stockés dans la base non relationnelle.","to do","1","4j","matching,critique","Prod"
"Verrou d'honorabilité dans le matching","Blocage dur : un profil sans honorabilité validée n'apparaît jamais dans les résultats, quel que soit son score.","to do","1","1j","conformité,critique","Prod"
"Dashboard et suivi des états de mission","Ouverte, pourvue, terminée. Vue structure et vue animateur.","to do","1","3j","missions","Prod"
"Agrégation de créneaux côté animateur","Vue permettant de cumuler des créneaux compatibles chez plusieurs employeurs. Face animateur de la proposition de valeur.","to do","2","2j","missions,différenciateur","Prod"
"Pages publiques des missions et accueil","Pages indexables, lisibles sans compte.","to do","2","1j30m","front,seo","Prod"
"Interface responsive mobile tablette desktop","Exigence explicite du sujet. À tester sur les trois formats.","to do","1","1j30m","front","Prod"
"Mise en conformité RGAA 4.1","Contrastes, alternatives textuelles, navigation clavier, structure sémantique.","to do","2","1j30m","conformité,front","Prod"
"Application des pratiques RGESN","Au moins deux pratiques concrètes, documentées. Import en delta, compression d'images, lazy loading, réduction des requêtes.","to do","3","1j","conformité","Prod"
"Workflow n8n : alerte de match sur Discord","Nouvelle mission publiée, appel du endpoint de matching, notification si un profil dépasse le seuil de score.","to do","1","1j","nocode,livrable","Prod"
"Workflow n8n : génération du contrat de mission","Déclenché au passage en mission pourvue. Injecte les mentions obligatoires : motif de recours, dates, qualification, lieu, rémunération.","to do","1","1j","nocode,livrable","Prod"
"Tests unitaires","Séquence sur la logique métier : calcul d'encadrement, scoring, règles de filtrage.","to do","1","2j","tests","Prod"
"Tests fonctionnels des parcours critiques","Inscription, création de mission, matching. Exigence explicite du sujet.","to do","1","2j","tests","Prod"
"Génération du rapport de couverture","Le taux de couverture doit être généré et transmis avec la livraison.","to do","1","4h","tests,livrable","Prod"
"Intégrer les design tokens dans le frontend","Reprendre les variables de la charte Figma comme variables CSS ou thème. Garantit la cohérence et évite les valeurs codées en dur.","to do","1","1j","front,design","Prod"
"Balises meta title et description dynamiques","Générées par mission à partir du poste, de la ville et de la structure. Longueurs contrôlées, pas de duplication entre missions.","to do","1","4h","seo","Prod"
"Structure sémantique et hiérarchie de titres","Un seul h1 par page, balises header, nav, main, article, footer. Recouvre directement les critères RGAA de structure.","to do","1","4h","seo,conformité","Prod"
"URLs lisibles et génération des slugs","Slugs construits depuis l'intitulé et la ville, sans accents ni caractères spéciaux, unicité garantie.","to do","1","4h","seo","Prod"
"Sitemap.xml et robots.txt","Sitemap minimal exigé par le sujet, généré dynamiquement à partir des missions publiées. Robots.txt excluant les espaces authentifiés.","to do","1","3h","seo,livrable","Prod"
"Données structurées JobPosting","Balisage schema.org JobPosting sur chaque annonce : intitulé, description, date de publication, organisation, lieu. C'est le standard des sites d'emploi et un très bon argument de soutenance.","to do","2","4h","seo,différenciateur","Prod"
"Pages de listing par ville et par département","Pages d'atterrissage répondant aux requêtes locales, alimentées par les données France Travail et l'Annuaire de l'éducation.","to do","2","1j","seo,data","Prod"
"Balises canoniques sur les listings filtrés","Évite le contenu dupliqué généré par les combinaisons de filtres.","to do","3","2h","seo","Prod"
"Balises Open Graph et partage social","Titre, description et image lors du partage d'une mission sur Discord ou les réseaux.","to do","3","2h","seo","Prod"
"Gérer les missions expirées","Les annonces pourvues ou terminées ne doivent pas rester indexées comme actives. Statut, désindexation ou redirection à décider.","to do","2","3h","seo","Prod"
"Optimiser les Core Web Vitals des pages publiques","Temps de chargement, lazy loading, réduction des requêtes. Recouvre les pratiques RGESN, à documenter une seule fois pour les deux exigences.","to do","2","4h","seo,conformité","Prod"
"Dossier d'étude de marché","Secteur choisi, concurrence, proposition de valeur. Rédigé et sourcé.","Complete","1","3h","J0,document","Livrables"
"Mettre à jour les chiffres de pénurie si édition récente disponible","Les données actuelles datent de 2021-2022. Chercher une édition 2025 ou 2026 du baromètre Hexopée avant la soutenance.","to do","3","1h","document","Livrables"
"Compléter les liens Légifrance manquants","Décret 2014-1320 et articles R227-3, R227-12, R227-16 du CASF. Ne pas inventer d'URL.","to do","3","30m","document","Livrables"
"Cahier des charges J+2","Roadmap fonctionnelle et chiffrage estimé par module. Support du point go/nogo.","to do","1","3h","J2,document,bloquant","Livrables"
"README d'installation et de lancement","Prérequis, variables d'environnement, commandes. Doit permettre à un tiers de lancer le projet sans aide.","to do","1","3h","document","Livrables"
"Export des workflows n8n","Export ou capture des deux scénarios, à joindre à la livraison.","to do","2","1h","nocode,document","Livrables"
"Livraison du script de nettoyage des données","Script ou notebook utilisé pour le nettoyage et le reformatage, livré avec le jeu de données.","to do","2","1h","data,document","Livrables"
"Mentions légales et volet RGPD","Base légale du traitement, durée de conservation, mentions légales minimales. La plateforme manipule des données personnelles et des contrats.","to do","2","1h30m","conformité,document","Livrables"
"Chiffrage réel post-POC et analyse des écarts","Temps réellement passé par fonctionnalité, écart contre l'estimé. Un écart assumé et analysé vaut mieux qu'une estimation flatteuse.","to do","1","2h","document","Livrables"
"Support de pitch","Storytelling : problème du secteur, solution, démo live. Tous les membres prennent la parole.","to do","1","1j","soutenance,document","Livrables"
"Préparer le scénario de démo live","Structure en règle, un désistement, passage sous le seuil d'encadrement, publication automatique de la mission, matching. Reproductible sans improvisation.","to do","1","3h","soutenance","Livrables"
"Nettoyer l'arborescence et les fichiers de travail","Pas de fichiers oubliés, README à jour. Le sujet évalue l'organisation de l'environnement.","to do","2","1h30m","document","Livrables"
"Partager le lien Figma et l'exporter","Lien de consultation dans le README et dans le support de pitch. Le travail de conception doit être visible par le jury.","to do","2","30m","design,figma,document","Livrables"
"Documenter la stratégie SEO","Une page : choix de rendu, arborescence d'URLs, balisage, sitemap, données structurées. Support des questions du jury.","to do","2","1h30m","seo,document","Livrables"
